locality,zip_code
Aalst,9450
Aalst,9500
Aalst,9300
Aalst,9620
Aalst,9550
Aalst,9308
Aalst,9340
Aalst,9420
Aalst,9470
Aalst,9320
Aalst,9520
Aalst,9402
Aalst,9310
Aalst,9400
Aalst,9506
Aalst,9451
Aalst,9473
Aalst,9401
Aalst,9403
Aalst,9552
Aalst,9404
Aalst,9472
Aalst,9406
Aalst,9551
Aalst,9521
Antwerp,2050
Antwerp,2100
Antwerp,2000
Antwerp,2150
Antwerp,2180
Antwerp,2660
Antwerp,2600
Antwerp,2520
Antwerp,2620
Antwerp,2640
Antwerp,2170
Antwerp,2610
Antwerp,2060
Antwerp,2020
Antwerp,2240
Antwerp,2920
Antwerp,2390
Antwerp,2540
Antwerp,2070
Antwerp,2530
Antwerp,2980
Antwerp,2990
Antwerp,2160
Antwerp,2900
Antwerp,2650
Antwerp,2550
Antwerp,2140
Antwerp,2018
Antwerp,2040
Antwerp,2243
Antwerp,2630
Antwerp,2242
Antwerp,2845
Antwerp,2840
Antwerp,2940
Antwerp,2627
Antwerp,2110
Antwerp,2930
Antwerp,2970
Antwerp,2960
Antwerp,2910
Antwerp,2950
Antwerp,2547
Antwerp,2850
Antwerp,2531
Antwerp,2030
Arlon,6700
Arlon,6791
Arlon,6792
Arlon,6780
Arlon,6717
Arlon,6790
Arlon,6782
Arlon,6781
Arlon,6704
Arlon,6630
Ath,7800
Ath,7801
Ath,7804
Ath,7822
Ath,7911
Ath,7971
Ath,7811
Ath,7890
Ath,7810
Ath,7940
Ath,7973
Ath,7802
Ath,7950
Ath,7812
Ath,7970
Ath,7972
Ath,7912
Ath,7910
Ath,7823
Ath,7321
Ath,7322
Ath,7943
Ath,7880
Ath,7320
Ath,7951
Ath,7803
Ath,7942
Bastogne,6637
Bastogne,6640
Bastogne,6688
Bastogne,6660
Bastogne,6600
Bastogne,6666
Bastogne,6690
Bastogne,6698
Bastogne,6662
Bastogne,6670
Bastogne,6661
Bastogne,6672
Bastogne,6680
Bastogne,6642
Bastogne,6692
Bastogne,6687
Bastogne,6671
Bastogne,6686
Bastogne,6673
Bastogne,6674
Brugge,8300
Brugge,8000
Brugge,8370
Brugge,8301
Brugge,8310
Brugge,8340
Brugge,8200
Brugge,8020
Brugge,8210
Brugge,8380
Brugge,8211
Brugge,8377
Brugge,8490
Brugge,8730
Brugge,8820
Brussels,1070
Brussels,1083
Brussels,1160
Brussels,1000
Brussels,1050
Brussels,1190
Brussels,1020
Brussels,1210
Brussels,1150
Brussels,1180
Brussels,1082
Brussels,1200
Brussels,1030
Brussels,1080
Brussels,1081
Brussels,1060
Brussels,1040
Brussels,1120
Brussels,1090
Brussels,1140
Brussels,1170
Brussels,1130
Charleroi,6010
Charleroi,6061
Charleroi,6200
Charleroi,6040
Charleroi,7170
Charleroi,6230
Charleroi,6220
Charleroi,6032
Charleroi,6000
Charleroi,6060
Charleroi,6250
Charleroi,6020
Charleroi,7181
Charleroi,6180
Charleroi,7180
Charleroi,6001
Charleroi,6043
Charleroi,6031
Charleroi,6210
Charleroi,6280
Charleroi,6030
Charleroi,7160
Charleroi,6240
Charleroi,6044
Charleroi,6183
Charleroi,6142
Charleroi,6224
Charleroi,6042
Charleroi,6182
Charleroi,6141
Charleroi,6041
Charleroi,6110
Charleroi,6140
Charleroi,6211
Charleroi,6222
Charleroi,6221
Charleroi,6238
Charleroi,6181
Charleroi,6223
Dendermonde,9240
Dendermonde,9200
Dendermonde,9230
Dendermonde,9280
Dendermonde,9255
Dendermonde,9260
Dendermonde,9270
Dendermonde,9220
Dendermonde,9250
Dendermonde,9290
Diksmuide,8600
Diksmuide,8650
Diksmuide,8610
Diksmuide,8680
Diksmuide,8647
Dinant,5540
Dinant,5590
Dinant,5574
Dinant,5500
Dinant,5570
Dinant,5580
Dinant,5555
Dinant,5530
Dinant,5377
Dinant,5520
Dinant,5572
Dinant,5562
Dinant,5541
Dinant,5537
Dinant,5360
Dinant,5542
Dinant,5543
Dinant,5550
Dinant,5561
Dinant,5370
Dinant,5362
Dinant,5560
Dinant,5522
Dinant,5575
Dinant,5501
Dinant,5376
Dinant,5564
Dinant,5364
Dinant,5503
Dinant,5576
Dinant,5544
Dinant,5372
Dinant,5361
Dinant,5504
Eeklo,9990
Eeklo,9060
Eeklo,9900
Eeklo,9968
Eeklo,9992
Eeklo,9960
Eeklo,9961
Eeklo,9971
Eeklo,9980
Eeklo,9970
Gent,9185
Gent,9800
Gent,9180
Gent,9820
Gent,9051
Gent,9940
Gent,9840
Gent,9040
Gent,9890
Gent,9831
Gent,9880
Gent,9000
Gent,9080
Gent,9050
Gent,9030
Gent,9860
Gent,9041
Gent,9070
Gent,9930
Gent,9810
Gent,9830
Gent,9032
Gent,9850
Gent,9870
Gent,9031
Gent,9090
Gent,9052
Gent,9950
Gent,9881
Gent,9042
Gent,9910
Gent,9932
Halle-Vilvoorde,1700
Halle-Vilvoorde,1500
Halle-Vilvoorde,1785
Halle-Vilvoorde,1702
Halle-Vilvoorde,1640
Halle-Vilvoorde,1740
Halle-Vilvoorde,1742
Halle-Vilvoorde,1730
Halle-Vilvoorde,1541
Halle-Vilvoorde,1780
Halle-Vilvoorde,1651
Halle-Vilvoorde,1853
Halle-Vilvoorde,1800
Halle-Vilvoorde,1850
Halle-Vilvoorde,3090
Halle-Vilvoorde,1932
Halle-Vilvoorde,1560
Halle-Vilvoorde,1650
Halle-Vilvoorde,1830
Halle-Vilvoorde,1880
Halle-Vilvoorde,1653
Halle-Vilvoorde,1840
Halle-Vilvoorde,1930
Halle-Vilvoorde,1755
Halle-Vilvoorde,1770
Halle-Vilvoorde,1933
Halle-Vilvoorde,1600
Halle-Vilvoorde,1820
Halle-Vilvoorde,1745
Halle-Vilvoorde,1760
Halle-Vilvoorde,1652
Halle-Vilvoorde,1750
Halle-Vilvoorde,1860
Halle-Vilvoorde,1703
Halle-Vilvoorde,1670
Halle-Vilvoorde,1790
Halle-Vilvoorde,1502
Halle-Vilvoorde,1861
Halle-Vilvoorde,1970
Halle-Vilvoorde,1570
Halle-Vilvoorde,1731
Halle-Vilvoorde,1540
Halle-Vilvoorde,1701
Halle-Vilvoorde,1950
Halle-Vilvoorde,1671
Halle-Vilvoorde,1910
Halle-Vilvoorde,1654
Halle-Vilvoorde,1982
Halle-Vilvoorde,1851
Halle-Vilvoorde,1980
Halle-Vilvoorde,1501
Halle-Vilvoorde,1831
Halle-Vilvoorde,1602
Halle-Vilvoorde,1981
Halle-Vilvoorde,1630
Halle-Vilvoorde,1601
Halle-Vilvoorde,1620
Halle-Vilvoorde,1673
Halle-Vilvoorde,1547
Halle-Vilvoorde,1761
Halle-Vilvoorde,1852
Halle-Vilvoorde,1741
Hasselt,3550
Hasselt,3520
Hasselt,3500
Hasselt,3945
Hasselt,3800
Hasselt,3971
Hasselt,3580
Hasselt,3690
Hasselt,3545
Hasselt,3590
Hasselt,3970
Hasselt,3980
Hasselt,3583
Hasselt,3582
Hasselt,3600
Hasselt,3560
Hasselt,3570
Hasselt,3512
Hasselt,3850
Hasselt,3890
Hasselt,3511
Hasselt,3803
Hasselt,3665
Hasselt,3540
Hasselt,3581
Hasselt,3510
Hasselt,3660
Hasselt,3891
Huy,4520
Huy,4530
Huy,4500
Huy,4180
Huy,4560
Huy,4210
Huy,4540
Huy,4190
Huy,4217
Huy,4537
Huy,4550
Huy,4480
Huy,4570
Huy,4557
Huy,4181
Huy,4577
Huy,4590
Huy,4160
Huy,4218
Huy,4161
Huy,4163
Ieper,8640
Ieper,8900
Ieper,8970
Ieper,8940
Ieper,8906
Ieper,8980
Ieper,8908
Ieper,8954
Ieper,8972
Ieper,8957
Ieper,8978
Ieper,8920
Ieper,8950
Kortrijk,8500
Kortrijk,8570
Kortrijk,8553
Kortrijk,8580
Kortrijk,8520
Kortrijk,8540
Kortrijk,8550
Kortrijk,8560
Kortrijk,8501
Kortrijk,8530
Kortrijk,8554
Kortrijk,8582
Kortrijk,8511
Kortrijk,8790
Kortrijk,8792
Kortrijk,8510
Kortrijk,8572
Kortrijk,8531
Kortrijk,8552
Kortrijk,8793
Kortrijk,8551
Kortrijk,8587
Kortrijk,8573
Kortrijk,8930
Kortrijk,8860
Kortrijk,8791
Kortrijk,8581
Leuven,3210
Leuven,3200
Leuven,3140
Leuven,3071
Leuven,3300
Leuven,3460
Leuven,3080
Leuven,3150
Leuven,3000
Leuven,3018
Leuven,3440
Leuven,3472
Leuven,3020
Leuven,3128
Leuven,3320
Leuven,3360
Leuven,3110
Leuven,3390
Leuven,3270
Leuven,3271
Leuven,3201
Leuven,3290
Leuven,3130
Leuven,3070
Leuven,3040
Leuven,3001
Leuven,3212
Leuven,3450
Leuven,3012
Leuven,3220
Leuven,3350
Leuven,3010
Leuven,3190
Leuven,3050
Leuven,3060
Leuven,3120
Leuven,3211
Leuven,3400
Leuven,3202
Leuven,3078
Leuven,3454
Leuven,3051
Leuven,3053
Leuven,3293
Leuven,3191
Leuven,3370
Leuven,3272
Leuven,3061
Leuven,3470
Leuven,3380
Leuven,3052
Leuven,3404
Leuven,3471
Leuven,3111
Leuven,3221
Leuven,3118
Leuven,3401
Leuven,3384
Leuven,3473
Leuven,3294
Leuven,3321
Leuven,3461
Leuven,3391
Li̬ge,4000
Li̬ge,4620
Li̬ge,4040
Li̬ge,4430
Li̬ge,4621
Li̬ge,4600
Li̬ge,4431
Li̬ge,4101
Li̬ge,4121
Li̬ge,4130
Li̬ge,4020
Li̬ge,4400
Li̬ge,4031
Li̬ge,4170
Li̬ge,4100
Li̬ge,4420
Li̬ge,4051
Li̬ge,4102
Li̬ge,4671
Li̬ge,4140
Li̬ge,4340
Li̬ge,4120
Li̬ge,4342
Li̬ge,4432
Li̬ge,4032
Li̬ge,4610
Li̬ge,4920
Li̬ge,4624
Li̬ge,4672
Li̬ge,4460
Li̬ge,4450
Li̬ge,4870
Li̬ge,4684
Li̬ge,4030
Li̬ge,4670
Li̬ge,4053
Li̬ge,4041
Li̬ge,4680
Li̬ge,4682
Li̬ge,4607
Li̬ge,4630
Li̬ge,4683
Li̬ge,4052
Li̬ge,4690
Li̬ge,4633
Li̬ge,4681
Li̬ge,4171
Li̬ge,4608
Li̬ge,4122
Li̬ge,4602
Li̬ge,4050
Li̬ge,4042
Li̬ge,4990
Li̬ge,4453
Li̬ge,4451
Li̬ge,4141
Li̬ge,4623
Li̬ge,4458
Li̬ge,4632
Li̬ge,4601
Li̬ge,4452
Maaseik,3920
Maaseik,3900
Maaseik,3650
Maaseik,3910
Maaseik,3670
Maaseik,3960
Maaseik,3680
Maaseik,3950
Maaseik,3930
Maaseik,3990
Maaseik,3530
Maaseik,3940
Maaseik,3640
Maaseik,3941
Marche-en-Famenne,6900
Marche-en-Famenne,6990
Marche-en-Famenne,6987
Marche-en-Famenne,6940
Marche-en-Famenne,6941
Marche-en-Famenne,6970
Marche-en-Famenne,6997
Marche-en-Famenne,6980
Marche-en-Famenne,6951
Marche-en-Famenne,6950
Marche-en-Famenne,6982
Marche-en-Famenne,6960
Marche-en-Famenne,6971
Marche-en-Famenne,6953
Marche-en-Famenne,6986
Marche-en-Famenne,6983
Mechelen,2820
Mechelen,2500
Mechelen,2800
Mechelen,2221
Mechelen,2812
Mechelen,2560
Mechelen,2880
Mechelen,2811
Mechelen,2220
Mechelen,2222
Mechelen,2223
Mechelen,2570
Mechelen,2580
Mechelen,2860
Mechelen,2801
Mechelen,2590
Mechelen,2830
Mechelen,2890
Mechelen,2870
MISSING,4525
MISSING,8539
MISSING,8535
Mons,7000
Mons,7040
Mons,7332
Mons,7333
Mons,7012
Mons,7080
Mons,7390
Mons,7021
Mons,7380
Mons,7041
Mons,7350
Mons,7011
Mons,7340
Mons,7030
Mons,7300
Mons,7870
Mons,7301
Mons,7387
Mons,7334
Mons,7034
Mons,7050
Mons,7033
Mons,7370
Mons,7020
Mons,7032
Mons,7330
Mons,7031
Mons,7331
Mons,7022
Mons,7024
Mons,7382
Mouscron,7784
Mouscron,7700
Mouscron,7712
Mouscron,7780
Mouscron,7711
Mouscron,7783
Mouscron,7782
Namur,5000
Namur,5640
Namur,5310
Namur,5340
Namur,5300
Namur,5100
Namur,5150
Namur,5030
Namur,5190
Namur,5020
Namur,5170
Namur,5101
Namur,5002
Namur,5004
Namur,5140
Namur,5031
Namur,5350
Namur,5330
Namur,5001
Namur,5060
Namur,5070
Namur,5353
Namur,5080
Namur,5022
Namur,5380
Namur,5334
Namur,5081
Namur,5024
Namur,5332
Namur,5003
Namur,5336
Namur,5032
Namur,5644
Namur,5641
Namur,5333
Namur,5351
Namur,5021
Neufch̢teau,6880
Neufch̢teau,6850
Neufch̢teau,6927
Neufch̢teau,6860
Neufch̢teau,6920
Neufch̢teau,6800
Neufch̢teau,6870
Neufch̢teau,6830
Neufch̢teau,6840
Neufch̢teau,6831
Neufch̢teau,6890
Neufch̢teau,6834
Neufch̢teau,6887
Neufch̢teau,6852
Neufch̢teau,6921
Neufch̢teau,6838
Neufch̢teau,6929
Neufch̢teau,6836
Neufch̢teau,6832
Neufch̢teau,6924
Neufch̢teau,6833
Nivelles,1410
Nivelles,1420
Nivelles,1380
Nivelles,1480
Nivelles,1367
Nivelles,1360
Nivelles,1300
Nivelles,1301
Nivelles,1400
Nivelles,1330
Nivelles,1350
Nivelles,1310
Nivelles,1320
Nivelles,1390
Nivelles,1460
Nivelles,1457
Nivelles,1370
Nivelles,1315
Nivelles,1440
Nivelles,1470
Nivelles,1450
Nivelles,1325
Nivelles,1495
Nivelles,1357
Nivelles,1421
Nivelles,1490
Nivelles,1348
Nivelles,1428
Nivelles,1340
Nivelles,1332
Nivelles,1430
Nivelles,1341
Nivelles,1472
Nivelles,1435
Nivelles,1331
Nivelles,1342
Nivelles,1476
Nivelles,1471
Nivelles,1404
Nivelles,1401
Nivelles,1474
Nivelles,1473
Nivelles,1402
Nivelles,1461
Oostend,8400
Oostend,8430
Oostend,8470
Oostend,8420
Oostend,8450
Oostend,8434
Oostend,8460
Oostend,8480
Oostend,8432
Oostend,8433
Oostend,8431
Oostend,8421
Oudenaarde,9770
Oudenaarde,9660
Oudenaarde,9680
Oudenaarde,9690
Oudenaarde,9700
Oudenaarde,9600
Oudenaarde,9570
Oudenaarde,9790
Oudenaarde,9630
Oudenaarde,9688
Oudenaarde,9750
Oudenaarde,9636
Oudenaarde,9681
Oudenaarde,9771
Oudenaarde,9667
Oudenaarde,9661
Oudenaarde,9772
Oudenaarde,9572
Philippeville,5620
Philippeville,5660
Philippeville,5600
Philippeville,5670
Philippeville,5650
Philippeville,5630
Philippeville,5651
Philippeville,5680
Philippeville,5621
Roeselare,8800
Roeselare,8770
Roeselare,8840
Roeselare,8870
Roeselare,8810
Roeselare,8830
Roeselare,8880
Roeselare,8890
Sint-Niklaas,9190
Sint-Niklaas,9130
Sint-Niklaas,9100
Sint-Niklaas,9170
Sint-Niklaas,9120
Sint-Niklaas,9112
Sint-Niklaas,9150
Sint-Niklaas,9140
Sint-Niklaas,9160
Sint-Niklaas,9111
Soignies,7060
Soignies,7100
Soignies,7860
Soignies,7850
Soignies,7070
Soignies,7110
Soignies,7830
Soignies,7090
Soignies,7863
Soignies,7063
Soignies,7190
Soignies,7061
Soignies,7062
Soignies,7191
Soignies,7866
Soignies,7864
Soignies,7861
Thuin,7140
Thuin,6511
Thuin,6150
Thuin,7130
Thuin,7141
Thuin,6500
Thuin,6590
Thuin,7133
Thuin,6470
Thuin,6460
Thuin,6530
Thuin,6560
Thuin,7134
Thuin,7120
Thuin,6534
Thuin,6120
Thuin,6441
Thuin,6567
Thuin,6440
Thuin,6593
Thuin,6540
Thuin,6596
Thuin,6461
Thuin,6591
Thuin,6111
Thuin,7131
Thuin,6594
Thuin,6464
Thuin,6536
Thuin,6532
Thuin,6542
Thuin,6531
Thuin,6533
Tielt,8755
Tielt,8700
Tielt,8850
Tielt,8710
Tielt,8750
Tielt,8740
Tielt,8760
Tielt,8780
Tielt,8720
Tongeren,3770
Tongeren,3870
Tongeren,3840
Tongeren,3700
Tongeren,3830
Tongeren,3630
Tongeren,3720
Tongeren,3806
Tongeren,3740
Tongeren,3724
Tongeren,3620
Tongeren,3730
Tongeren,3631
Tongeren,3791
Tongeren,3721
Tongeren,3790
Tongeren,3621
Tongeren,3723
Tongeren,3793
Tongeren,3832
Tongeren,3722
Tournai,7730
Tournai,7640
Tournai,7500
Tournai,7600
Tournai,7520
Tournai,7760
Tournai,7503
Tournai,7750
Tournai,7603
Tournai,7501
Tournai,7506
Tournai,7548
Tournai,7740
Tournai,7532
Tournai,7900
Tournai,7904
Tournai,7906
Tournai,7502
Tournai,7534
Tournai,7540
Tournai,7536
Tournai,7531
Tournai,7610
Tournai,7608
Tournai,7521
Tournai,7903
Tournai,7620
Tournai,7530
Tournai,7742
Tournai,7504
Tournai,7901
Tournai,7641
Tournai,7601
Tournai,7542
Tournai,7643
Tournai,7522
Tournai,7611
Tournai,7618
Tournai,7602
Tournai,7604
Tournai,7622
Tournai,7642
Tournai,7743
Tournai,7543
Tournai,7623
Tournai,7533
Tournai,7538
Tournai,7621
Turnhout,2275
Turnhout,2280
Turnhout,2360
Turnhout,2430
Turnhout,2440
Turnhout,2300
Turnhout,2230
Turnhout,2381
Turnhout,2470
Turnhout,2490
Turnhout,2350
Turnhout,2340
Turnhout,2450
Turnhout,2260
Turnhout,2400
Turnhout,2200
Turnhout,2380
Turnhout,2288
Turnhout,2320
Turnhout,2431
Turnhout,2270
Turnhout,2491
Turnhout,2370
Turnhout,2382
Turnhout,2460
Turnhout,2290
Turnhout,2310
Turnhout,2235
Turnhout,2480
Turnhout,2322
Turnhout,2250
Turnhout,2330
Turnhout,2321
Turnhout,2328
Turnhout,2323
Turnhout,2387
Verviers,4700
Verviers,4840
Verviers,4830
Verviers,4845
Verviers,4750
Verviers,4960
Verviers,4780
Verviers,4821
Verviers,4860
Verviers,4800
Verviers,4890
Verviers,4650
Verviers,4900
Verviers,4910
Verviers,4950
Verviers,4802
Verviers,4837
Verviers,4820
Verviers,4770
Verviers,4880
Verviers,4652
Verviers,4851
Verviers,4710
Verviers,4970
Verviers,4790
Verviers,4801
Verviers,4980
Verviers,4783
Verviers,4701
Verviers,4834
Verviers,4731
Verviers,4841
Verviers,4730
Verviers,4987
Verviers,4760
Verviers,4720
Verviers,4654
Verviers,4852
Verviers,4877
Verviers,4850
Verviers,4653
Verviers,4728
Verviers,4831
Verviers,4791
Verviers,4711
Verviers,4651
Verviers,4721
Veurne,8670
Veurne,8660
Veurne,8620
Veurne,8630
Veurne,8690
Virton,6730
Virton,6740
Virton,6747
Virton,6720
Virton,6761
Virton,6769
Virton,6812
Virton,6750
Virton,6760
Virton,6810
Virton,6743
Virton,6762
Virton,6820
Virton,6767
Virton,6823
Virton,6741
Virton,6724
Virton,6742
Virton,6821
Virton,6723
Virton,6824
Virton,6721
Waremme,4357
Waremme,4300
Waremme,4287
Waremme,4470
Waremme,4257
Waremme,4317
Waremme,4260
Waremme,4360
Waremme,4280
Waremme,4219
Waremme,4367
Waremme,4347
Waremme,4250
Waremme,4350
Waremme,4351
Waremme,4254
Waremme,4261
Waremme,4263
Waremme,4252
